SNo,Month,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed
2183,6,6,ITA,5,Veneto,45.43490485,12.33845213,82,2,84,1080,1164,8,16069,1949,19182,351519
2184,6,7,ITA,13,Abruzzo,42.35122196,13.39843823,88,4,92,561,653,7,2194,418,3265,56702
2185,6,7,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,14,14,0,358,27,399,31357
2186,6,7,ITA,18,Calabria,38.90597598,16.59440194,18,0,18,73,91,0,971,97,1159,74080
2187,6,7,ITA,15,Campania,40.83956555,14.25084984,86,6,92,633,725,4,3675,426,4826,108785
2188,6,7,ITA,8,Emilia-Romagna,44.49436681,11.3417208,245,32,277,2051,2328,14,21405,4175,27908,213979
2189,6,7,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,22,4,26,125,151,0,2793,339,3283,85671
2190,6,7,ITA,12,Lazio,41.89277044,12.48366722,467,49,516,2174,2690,11,4362,760,7812,221612
2191,6,7,ITA,7,Liguria,44.41149315,8.9326992,127,5,132,111,243,13,8070,1499,9812,63749
2192,6,7,ITA,3,Lombardia,45.46679409,9.190347404,2801,107,2908,16512,19420,125,54505,16270,90195,485842
2193,6,7,ITA,11,Marche,43.61675973,13.5188753,41,2,43,1116,1159,3,4595,991,6745,69376
2194,6,7,ITA,14,Molise,41.55774754,14.65916051,0,2,2,118,120,0,293,23,436,16056
2195,6,7,ITA,21,P.A. Bolzano,46.49933453,11.35662422,7,2,9,88,97,3,2214,292,2603,33944
2196,6,7,ITA,22,P.A. Trento,46.06893511,11.12123097,6,1,7,75,82,1,3889,464,4435,51385
2197,6,7,ITA,1,Piemonte,45.0732745,7.680687483,659,38,697,3265,3962,10,22952,3941,30855,221367
2198,6,7,ITA,16,Puglia,41.12559576,16.86736689,96,4,100,633,733,0,3253,525,4511,86405
2199,6,7,ITA,20,Sardegna,39.21531192,9.110616306,10,1,11,48,59,0,1172,131,1362,53735
2200,6,7,ITA,19,Sicilia,38.11569725,13.3623567,42,7,49,813,862,1,2312,277,3451,139481
2201,6,7,ITA,9,Toscana,43.76923077,11.25588885,52,20,72,678,750,1,8315,1070,10135,192675
2202,6,7,ITA,10,Umbria,43.10675841,12.38824698,10,2,12,17,29,1,1327,76,1432,54314
2203,6,7,ITA,2,Valle d'Aosta,45.73750286,7.320149366,6,0,6,3,9,2,1038,144,1191,12335
2204,6,7,ITA,5,Veneto,45.43490485,12.33845213,81,1,82,1003,1085,1,16144,1954,19183,354338
2205,6,8,ITA,13,Abruzzo,42.35122196,13.39843823,89,4,93,539,632,0,2215,418,3265,57165
2206,6,8,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,13,13,0,359,27,399,31930
2207,6,8,ITA,18,Calabria,38.90597598,16.59440194,18,0,18,59,77,0,985,97,1159,74439
2208,6,8,ITA,15,Campania,40.83956555,14.25084984,82,6,88,629,717,2,3685,426,4828,109534
2209,6,8,ITA,8,Emilia-Romagna,44.49436681,11.3417208,239,31,270,2012,2282,20,21467,4179,27928,215416
2210,6,8,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,22,3,25,119,144,1,2800,340,3284,85834
2211,6,8,ITA,12,Lazio,41.89277044,12.48366722,466,49,515,2100,2615,16,4450,763,7828,222963
2212,6,8,ITA,7,Liguria,44.41149315,8.9326992,125,5,130,118,248,14,8073,1505,9826,64349
2213,6,8,ITA,3,Lombardia,45.46679409,9.190347404,2708,107,2815,16504,19319,194,54768,16302,90389,489775
2214,6,8,ITA,11,Marche,43.61675973,13.5188753,41,2,43,1032,1075,2,4681,991,6747,69736
2215,6,8,ITA,14,Molise,41.55774754,14.65916051,0,2,2,117,119,0,294,23,436,16224
2216,6,8,ITA,21,P.A. Bolzano,46.49933453,11.35662422,7,2,9,88,97,1,2215,292,2604,34307
2217,6,8,ITA,22,P.A. Trento,46.06893511,11.12123097,7,1,8,73,81,1,3891,464,4436,51453
2218,6,8,ITA,1,Piemonte,45.0732745,7.680687483,633,36,669,3197,3866,14,23049,3954,30869,222000
2219,6,8,ITA,16,Puglia,41.12559576,16.86736689,94,4,98,600,698,1,3289,525,4512,88228
2220,6,8,ITA,20,Sardegna,39.21531192,9.110616306,9,1,10,46,56,0,1175,131,1362,54051
2221,6,8,ITA,19,Sicilia,38.11569725,13.3623567,40,7,47,806,853,1,2321,278,3452,140109
2222,6,8,ITA,9,Toscana,43.76923077,11.25588885,50,20,70,651,721,9,8349,1074,10144,193737
2223,6,8,ITA,10,Umbria,43.10675841,12.38824698,10,2,12,17,29,0,1327,76,1432,54486
2224,6,8,ITA,2,Valle d'Aosta,45.73750286,7.320149366,7,0,7,1,8,0,1039,144,1191,12385
2225,6,8,ITA,5,Veneto,45.43490485,12.33845213,82,1,83,997,1080,4,16152,1955,19187,355368
2226,6,9,ITA,13,Abruzzo,42.35122196,13.39843823,91,4,95,472,567,1,2248,451,3266,57880
2227,6,9,ITA,17,Basilicata,40.63947052,15.80514834,1,0,1,13,14,1,359,27,400,32395
2228,6,9,ITA,18,Calabria,38.90597598,16.59440194,18,0,18,50,68,0,994,97,1159,75154
2229,6,9,ITA,15,Campania,40.83956555,14.25084984,73,3,76,599,675,5,3732,426,4833,110583
2230,6,9,ITA,8,Emilia-Romagna,44.49436681,11.3417208,226,31,257,1899,2156,18,21605,4185,27946,218890
